period_start,period_end,params,return,drawdown
2025-07-23 21:00:00,2025-08-07 21:00:00,"{'bb_length': 50, 'bb_std': 2.0}",0.002545619030278612,-0.017193649610118045
2025-08-07 21:00:00,2025-08-22 21:00:00,"{'bb_length': 50, 'bb_std': 2.0}",-0.05059981719298212,-0.05079751930804978
2025-08-22 21:00:00,2025-09-06 21:00:00,"{'bb_length': 30, 'bb_std': 2.0}",-0.004182150791828487,-0.020296126106150107
2025-09-06 21:00:00,2025-09-21 21:00:00,"{'bb_length': 50, 'bb_std': 2.0}",-0.012266479497873295,-0.014191466008364477
2025-09-21 21:00:00,2025-10-06 21:00:00,"{'bb_length': 50, 'bb_std': 2.0}",-0.045640779527636344,-0.0606023658016291
2025-10-06 21:00:00,2025-10-21 21:00:00,"{'bb_length': 20, 'bb_std': 2.0}",-0.12439595133399595,-0.13635388104281218
2025-10-21 21:00:00,2025-11-05 21:00:00,"{'bb_length': 30, 'bb_std': 2.0}",-0.0013725968411733014,-0.02638139600671432
