period_start,period_end,params,return,drawdown
2025-08-22 21:00:00,2025-09-06 21:00:00,"{'n_estimators': 100, 'max_depth': 7}",-0.056132395800547075,-0.1336528891969814
2025-09-06 21:00:00,2025-09-21 21:00:00,"{'n_estimators': 100, 'max_depth': 7}",-0.09087895151515346,-0.11426735307953831
2025-09-21 21:00:00,2025-10-06 21:00:00,"{'n_estimators': 100, 'max_depth': 7}",-0.1552008216318309,-0.1578574200379573
2025-10-06 21:00:00,2025-10-21 21:00:00,"{'n_estimators': 100, 'max_depth': 7}",-0.3091474054965896,-0.3398515364209092
2025-10-21 21:00:00,2025-11-05 21:00:00,"{'n_estimators': 100, 'max_depth': 7}",-0.06839861375979306,-0.188839465356234
