period_start,period_end,params,return,drawdown,bnh_return
2025-05-20,2025-06-19,"{'fast_ema': 50, 'slow_ema': 200}",0.0,0.0,-0.01091528610034087
2025-06-19,2025-07-19,"{'fast_ema': 20, 'slow_ema': 200}",0.0,0.0,0.4227200912319884
2025-07-19,2025-08-18,"{'fast_ema': 50, 'slow_ema': 100}",-0.05161365844100907,-0.13636964672844343,0.2024058024258415
2025-08-18,2025-09-17,"{'fast_ema': 50, 'slow_ema': 100}",-0.1001742398748604,-0.14791366578088427,0.04110207350551587
2025-09-17,2025-10-17,"{'fast_ema': 50, 'slow_ema': 100}",-0.22011396738037625,-0.3023401075754635,-0.12551497513223164
2025-10-17,2025-11-16,"{'fast_ema': 50, 'slow_ema': 100}",0.1649288564530884,-0.1158079916938622,-0.18566834043094138
