period_start,period_end,params,return,drawdown
2025-08-22 21:00:00,2025-09-06 21:00:00,"{'n_estimators': 100, 'max_depth': 7, 'threshold': 0.55}",0.00017038816976699955,-0.066313720272457
2025-09-06 21:00:00,2025-09-21 21:00:00,"{'n_estimators': 100, 'max_depth': 7, 'threshold': 0.55}",-0.12578815470763316,-0.1331840535436422
2025-09-21 21:00:00,2025-10-06 21:00:00,"{'n_estimators': 100, 'max_depth': 7, 'threshold': 0.55}",-0.12499067897245264,-0.12818303335021555
2025-10-06 21:00:00,2025-10-21 21:00:00,"{'n_estimators': 100, 'max_depth': 7, 'threshold': 0.55}",-0.30165812627114574,-0.30165812627114574
2025-10-21 21:00:00,2025-11-05 21:00:00,"{'n_estimators': 100, 'max_depth': 7, 'threshold': 0.55}",-0.01539716170802552,-0.08696208067868412
