period_start,period_end,params,return,drawdown
2025-07-23 21:00:00,2025-08-07 21:00:00,"{'fast_ema': 20, 'slow_ema': 30}",0.04156206640543858,-0.13817037055155895
2025-08-07 21:00:00,2025-08-22 21:00:00,"{'fast_ema': 50, 'slow_ema': 200}",-0.17136283939941788,-0.20171396240121464
2025-08-22 21:00:00,2025-09-06 21:00:00,"{'fast_ema': 10, 'slow_ema': 200}",0.03438017758150069,-0.05079607853874537
2025-09-06 21:00:00,2025-09-21 21:00:00,"{'fast_ema': 50, 'slow_ema': 100}",-0.020232711201823794,-0.1072143322828609
2025-09-21 21:00:00,2025-10-06 21:00:00,"{'fast_ema': 50, 'slow_ema': 50}",0.0,0.0
2025-10-06 21:00:00,2025-10-21 21:00:00,"{'fast_ema': 50, 'slow_ema': 50}",0.0,0.0
2025-10-21 21:00:00,2025-11-05 21:00:00,"{'fast_ema': 50, 'slow_ema': 200}",0.04996465814042783,-0.0822521792834637
