period_start,period_end,params,return,drawdown
2025-07-23 21:00:00,2025-08-07 21:00:00,"{'fast_ema': 30, 'slow_ema': 200, 'rsi_period': 14, 'rsi_threshold': 50}",-0.006389439246130335,-0.04157526830299454
2025-08-07 21:00:00,2025-08-22 21:00:00,"{'fast_ema': 30, 'slow_ema': 200, 'rsi_period': 14, 'rsi_threshold': 50}",-0.029180101706304362,-0.048521250637628834
2025-08-22 21:00:00,2025-09-06 21:00:00,"{'fast_ema': 20, 'slow_ema': 200, 'rsi_period': 14, 'rsi_threshold': 50}",-0.10732341275693413,-0.11130715436388146
2025-09-06 21:00:00,2025-09-21 21:00:00,"{'fast_ema': 30, 'slow_ema': 100, 'rsi_period': 14, 'rsi_threshold': 50}",-0.03678519179780071,-0.06077615583069256
2025-09-21 21:00:00,2025-10-06 21:00:00,"{'fast_ema': 20, 'slow_ema': 200, 'rsi_period': 14, 'rsi_threshold': 50}",0.06173010223217812,-0.027261691227248905
2025-10-06 21:00:00,2025-10-21 21:00:00,"{'fast_ema': 10, 'slow_ema': 200, 'rsi_period': 14, 'rsi_threshold': 50}",-0.06239930605917288,-0.1040777237116129
2025-10-21 21:00:00,2025-11-05 21:00:00,"{'fast_ema': 30, 'slow_ema': 100, 'rsi_period': 14, 'rsi_threshold': 50}",0.04850356443664072,-0.057582893225671956
