timestamp,symbol,side,amount,price,reason,status
2025-11-21 03:03:59.973996,BTC/USDT,sell,0.02203041146321418,86020.9,SHORT_TREND_PULLBACK,FILLED
2025-11-21 03:06:00.257231,RNDR/USDT,sell,199.49460234789564,7.1234,SHORT_RANGE,"FAILED: binance {""code"":-1121,""msg"":""Invalid symbol.""}"
2025-11-21 03:06:00.566562,TIA/USDT,buy,2024.618678394358,0.7019,LONG_RANGE,"FAILED: binance {""code"":-1111,""msg"":""Precision is over the maximum defined for this asset.""}"
2025-11-21 03:06:00.905607,MKR/USDT,buy,0.8422212116191548,1687.3,LONG_RANGE,"FAILED: binance {""code"":-4140,""msg"":""Invalid symbol status for opening position.""}"
2025-11-21 03:06:26.581087,RNDR/USDT,sell,265.9928031305276,7.1234,SHORT_RANGE,"FAILED: binance {""code"":-1121,""msg"":""Invalid symbol.""}"
2025-11-21 03:06:26.905932,MKR/USDT,buy,0.8422212116191548,1687.3,LONG_RANGE,"FAILED: binance {""code"":-4140,""msg"":""Invalid symbol status for opening position.""}"
2025-11-21 03:06:51.393312,RNDR/USDT,sell,265.9928031305276,7.1234,SHORT_RANGE,"FAILED: binance {""code"":-1121,""msg"":""Invalid symbol.""}"
2025-11-21 03:06:51.746936,MKR/USDT,buy,0.8422212116191548,1687.3,LONG_RANGE,"FAILED: binance {""code"":-4140,""msg"":""Invalid symbol status for opening position.""}"
2025-11-21 03:09:37.434437,BNB/USDT,buy,1.6551706329885738,858.57,LONG_RANGE,FILLED
2025-11-21 03:21:40.991663,SOL/USDT,sell,7.0,131.29,EXIT_STOP,FILLED
2025-11-21 03:27:32.819336,XRP/USDT,sell,961.8535848765841,1.9649,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:27:56.523482,XRP/USDT,sell,961.8535848765841,1.9649,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:28:20.017756,XRP/USDT,sell,961.8535848765841,1.9649,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:28:43.568855,XRP/USDT,sell,961.8535848765841,1.9649,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:29:06.949731,XRP/USDT,sell,961.8535848765841,1.9649,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:29:31.001291,ETH/USDT,sell,0.338,2792.79,EXIT_STOP,FILLED
2025-11-21 03:29:31.413970,XRP/USDT,sell,961.8535848765841,1.9649,SHORT_SQUEEZE_BREAKOUT,FILLED
2025-11-21 03:29:54.906783,BNB/USDT,sell,1.66,854.41,EXIT_STOP,FILLED
2025-11-21 03:37:50.813976,DOGE/USDT,buy,9697.796663465368,0.14567,LONG_SCALP_STOCH,FILLED
2025-11-21 03:40:32.660198,ETH/USDT,buy,0.506707606855669,2787.62,LONG_SCALP_STOCH,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:51:52.909003,FET/USDT,sell,6403.754999537574,0.2941,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:52:16.223917,FET/USDT,sell,6403.754999537574,0.2941,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:52:39.344193,FET/USDT,sell,6403.754999537574,0.2941,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:53:02.676227,FET/USDT,sell,6399.403144288142,0.2943,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
